total_lots,lot_type,lots_available,carpark_number,update_datetime,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
437,C,343,PM19,2023-02-27T09:38:09,BLK 108A PASIR RIS STREET 12,41766.7964,38887.5806,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,2.0,N,1.367956777555038,103.95702273852463
267,C,162,PM40,2023-02-27T09:37:31,BLK 744A PASIR RIS STREET 71,39358.5759,39992.2049,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,11.0,2.0,N,1.3779476132601656,103.93538366563043
293,C,134,PM37,2020-11-02T10:04:43,BLK 718A PASIR RIS STREET 72,39429.3197,40431.9844,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.3819247877443905,103.93601952013265
671,C,412,PM36,2023-02-27T09:37:49,BLK 710A PASIR RIS STREET 72,39546.2838,40486.3671,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.0,N,1.3824165586451849,103.93707054978773
472,C,376,SK93,2023-02-27T09:37:37,BLK 453 FERNVALE ROAD,32681.0825,41761.6732,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,2.15,N,1.3939518722581885,103.87538181918731
360,C,274,SK2,2023-02-27T09:37:42,BLK 236A COMPASSVALE WALK,35433.4759,41356.0962,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,2.15,N,1.390283406829785,103.9001141454177
865,C,668,SK60,2023-02-27T09:37:24,BLK 404 FERNVALE LANE,32444.96,41076.957,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10.0,2.15,N,1.3877595832507188,103.87325996745597
1358,C,1030,SK15,2023-02-27T09:37:33,BLK 256A COMPASSVALE ROAD,35368.923,41723.2516,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13.0,2.15,N,1.3936038427321553,103.89953418022652
677,C,539,SK17,2020-12-14T09:35:53,BLK 248A COMPASSVALE ROAD,35276.8508,41636.7294,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13.0,2.15,N,1.3928213907743747,103.89870681748124
354,C,255,SK12,2023-02-27T09:37:33,BLK 103A RIVERVALE WALK,35494.0265,40573.0138,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12.0,2.15,N,1.3832014796474887,103.90065803933703
75,C,35,W4,2023-02-27T09:37:29,BLK 6/7 MARSILING DRIVE,21704.3672,47125.2891,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0.0,4.5,N,1.4424581487509198,103.77674614865396
